Student Survey,"","","","","","","","","","","","","","",Employee Survey,"","","","","","","","","","","","","","","","","","","","","","","","","","","",Guardian Surveys,"","","","","","","","","","","","","","","","","","","","","","","",""
QAJR - FLUSHING YMCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,96.0,91.0,100.0,100.0,99.0,94.0,100.0,100.0,97.0,100.0,,,,,,,,,,,,,
QAKF - JACKSON CHILDREN'S SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,93.0,100.0,100.0,97.0,93.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,
QAKM - MI NUEVO MUNDO CORP- QAKM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,100.0,99.0,93.0,99.0,100.0,99.0,97.0,99.0,93.0,100.0,,,,,,,,,,,,,
"QAKQ - DENIZKO DAYCARE, INC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,100.0,100.0,100.0,99.0,99.0,99.0,98.0,98.0,95.0,100.0,,,,,,,,,,,,,
QALA - RAINBOW-FLUSHING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,99.0,99.0,99.0,97.0,96.0,96.0,97.0,92.0,100.0,,,,,,,,,,,,,
"QALP - EARLY SUNRISE PRESCHOOL AND KINDERGARTEN, INC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,95.0,100.0,97.0,96.0,83.0,100.0,97.0,100.0,100.0,,,,,,,,,,,,,
QALQ - ELBER ISLAMIC SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,98.0,,96.0,94.0,95.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,
QAMB - JACKSON HEIGHTS EARLY LEARNING CENTER ANNEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,,100.0,97.0,95.0,100.0,95.0,97.0,100.0,,,,,,,,,,,,,
QAMJ - Little Dolphin School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,,100.0,98.0,96.0,100.0,100.0,75.0,100.0,,,,,,,,,,,,,
QAMO - THE GRYC LITTLE STARS PRE-K @ SUMMERFIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,100.0,92.0,83.0,99.0,98.0,94.0,98.0,97.0,85.0,95.0,,,,,,,,,,,,,
QAMS - KID KRAZY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,100.0,93.0,,96.0,95.0,91.0,98.0,98.0,96.0,100.0,,,,,,,,,,,,,
"QAMT - HEBREW KINDERGARTEN & INFANTS HOME, INC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,100.0,90.0,89.0,100.0,94.0,96.0,100.0,98.0,92.0,100.0,,,,,,,,,,,,,
QAMV - SCO FAMILY OF SERVICES JEROME HARDEMAN ECE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,
QANU - Happy Dragon of New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,96.0,95.0,97.0,96.0,91.0,95.0,91.0,93.0,100.0,,,,,,,,,,,,,
QAOO - BETH JACOB - FOREST PARK PRESCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,89.0,81.0,60.0,100.0,91.0,88.0,100.0,97.0,95.0,85.0,,,,,,,,,,,,,
QAOQ - ROCKAWAY CHILD CARE CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,90.0,96.0,77.0,100.0,95.0,97.0,93.0,95.0,98.0,95.0,,,,,,,,,,,,,
QAPB - ALL MY CHILDREN DAY CARE 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,98.0,97.0,99.0,100.0,99.0,96.0,100.0,99.0,92.0,100.0,,,,,,,,,,,,,
QAPK - CONCERNED PARENTS OF JAMAICA EARLY LEARNING CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,99.0,99.0,89.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,
QAPL - SHOLOM DAY CARE 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,100.0,100.0,85.0,100.0,100.0,100.0,,,,,,,,,,,,,,
QAPS - B'ABOVE FARMERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,97.0,83.0,95.0,96.0,99.0,95.0,100.0,92.0,100.0,,,,,,,,,,,,,
QARC - LUCILLE ROSE DAY CARE CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,100.0,97.0,88.0,100.0,100.0,100.0,,,,,,,,,,,,,,
QARG - SOUTH JAMAICA CENTER FOR CHILDREN AND PARENTS INC. CENTER 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,100.0,98.0,92.0,100.0,99.0,98.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,
"QARK - SHOLOM DAY CARE, INC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,100.0,93.0,100.0,100.0,100.0,91.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,
QARP - MYRTLE P. JARMON EARLY CHILDHOOD EDUCATIONAL CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,
QASC - ST. MEL'S CATHOLIC ACADEMY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,92.0,100.0,,100.0,99.0,98.0,100.0,100.0,80.0,100.0,,,,,,,,,,,,,
QASD - IMMANUEL INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,99.0,100.0,100.0,100.0,98.0,100.0,100.0,99.0,100.0,,,,,,,,,,,,,
QASF - IRA'S BRIARWOOD DAYCARE AND PRESCHOOL INC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,94.0,100.0,100.0,100.0,98.0,100.0,98.0,100.0,100.0,100.0,,,,,,,,,,,,,
"QASI - EARLY SUNRISE PRESCHOOL AND KINDERGARTEN, INC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,,92.0,90.0,60.0,87.0,90.0,93.0,100.0,,,,,,,,,,,,,
QASJ - CIRCLE ACADEMY ( NORTH SIDE SCHOOL - JAMAICA ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,91.0,87.0,100.0,99.0,96.0,89.0,100.0,97.0,99.0,91.0,,,,,,,,,,,,,
"QASL - EARLY BIRD II DAY CARE CENTER, INC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,
QASW - CHILDREN'S BIG APPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,98.0,98.0,92.0,100.0,96.0,89.0,100.0,98.0,84.0,98.0,,,,,,,,,,,,,
QASX - CHILDREN'S BIG APPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,92.0,95.0,100.0,100.0,100.0,100.0,100.0,90.0,100.0,,,,,,,,,,,,,
QATC - LITTLE FRIENDS SCHOOL ELMHURST INC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,100.0,99.0,94.0,98.0,98.0,97.0,93.0,99.0,91.0,97.0,,,,,,,,,,,,,
QATD - LITTLE FRIENDS SCHOOL SUNNYSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,89.0,89.0,63.0,90.0,88.0,89.0,90.0,90.0,85.0,93.0,,,,,,,,,,,,,
QATL - RAINBOW CHRISTIAN PRESCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.0,99.0,99.0,89.0,98.0,99.0,97.0,100.0,100.0,95.0,100.0,,,,,,,,,,,,,
QATO - LONG ISLAND CITY YMCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,89.0,99.0,84.0,99.0,97.0,89.0,100.0,100.0,82.0,95.0,,,,,,,,,,,,,
"QATT - PRESCHOOL 'R' US, INC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,100.0,98.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,
QATX - IMMANUEL GENIUS INC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,100.0,100.0,,100.0,100.0,96.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,
"QAUE - READY, SET, GROW! CHILD CARE CENTER, L.L.C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,90.0,93.0,100.0,95.0,92.0,85.0,100.0,96.0,71.0,93.0,,,,,,,,,,,,,
QAUH - THE CORNER SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,100.0,100.0,,94.0,95.0,98.0,92.0,95.0,90.0,100.0,,,,,,,,,,,,,
"QAUJ - FLUSHING DAY CARE CENTER, INC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,
QAUN - JACK & JILL II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,96.0,100.0,100.0,100.0,100.0,100.0,100.0,95.0,100.0,,,,,,,,,,,,,
QAUS - LUTHERAN SCHOOL OF FLUSHING & BAYSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,92.0,100.0,97.0,95.0,95.0,94.0,94.0,93.0,100.0,,,,,,,,,,,,,
QAVI - LITTLE TOTS RED WAGON INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0,99.0,98.0,98.0,,,,,,,,,,,,,
QAVV - UP THE LADDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,80.0,80.0,60.0,100.0,87.0,90.0,80.0,87.0,93.0,80.0,,,,,,,,,,,,,
QAVW - WEST END TEMPLE EARLY CHILDHOOD CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,88.0,96.0,88.0,100.0,95.0,93.0,97.0,100.0,98.0,92.0,,,,,,,,,,,,,
QAWK - WETHEROLE STREET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,95.0,100.0,,100.0,100.0,100.0,96.0,100.0,100.0,100.0,,,,,,,,,,,,,
"QAWU - SUNSHINESCHOOL, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,100.0,95.0,,100.0,92.0,90.0,100.0,100.0,75.0,100.0,,,,,,,,,,,,,
QAWV - THE CHURCH IN THE GARDENS NURSERY SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,86.0,,96.0,92.0,98.0,92.0,92.0,89.0,100.0,,,,,,,,,,,,,
"QAWW - THE PICKWICK SCHOOL, INC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,95.0,99.0,100.0,98.0,98.0,96.0,100.0,100.0,91.0,100.0,,,,,,,,,,,,,
QAWX - APPLE TREE NURSERY SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,,100.0,97.0,84.0,100.0,100.0,90.0,,,,,,,,,,,,,,
QAXC - ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,95.0,93.0,87.0,97.0,95.0,96.0,97.0,97.0,78.0,97.0,,,,,,,,,,,,,
"QAXK - KIDS CIRCLE DAYCARE, INC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,96.0,100.0,83.0,100.0,98.0,99.0,100.0,100.0,100.0,96.0,,,,,,,,,,,,,
QAXQ - THE LUTHERAN CHURCH OF OUR SAVIOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,100.0,,,,,,,,,,,,,
QAXV - THE EVANGELICAL LUTHERAN CHURCH OF THE REDEEMER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,
"QAYD - SOUTH JAMAICA CENTER FOR CHILDREN AND PARENTS, INC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,81.0,93.0,88.0,88.0,85.0,95.0,95.0,85.0,87.0,88.0,,,,,,,,,,,,,
QAYH - ALL CHILDRENS CHILD CARE CENTER OF QUEENS INC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,78.0,83.0,36.0,95.0,95.0,89.0,98.0,94.0,85.0,100.0,,,,,,,,,,,,,
QAYJ - ADVENTURELAND CHILD CARE CENTER INC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,96.0,,98.0,96.0,93.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,
"QAYN - JACKSON CHILDREN'S SERVICES,INC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,83.0,90.0,,100.0,100.0,90.0,94.0,100.0,83.0,100.0,,,,,,,,,,,,,
QAYP - KID KRAZY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,84.0,93.0,,92.0,92.0,98.0,100.0,96.0,98.0,90.0,,,,,,,,,,,,,
QAYT - QUEENSVIEW NURSERY SCHOOL AND KINDERGARTEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,98.0,98.0,,97.0,98.0,99.0,100.0,100.0,83.0,100.0,,,,,,,,,,,,,
QAYU - KIDS RAINBOWLAND NURSERY SCHOOL INC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,94.0,96.0,100.0,99.0,98.0,93.0,100.0,99.0,90.0,100.0,,,,,,,,,,,,,
QAYZ - EVANGELICAL LUTHERAN CHURCH OF THE ATONEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,95.0,100.0,100.0,100.0,98.0,95.0,100.0,100.0,78.0,100.0,,,,,,,,,,,,,
QAZI - Sheldon R. Weaver Child Care Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,100.0,99.0,97.0,100.0,100.0,97.0,100.0,,,,,,,,,,,,,
QAZV - MACEDONIA CHILD DEVELOPMENT CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,100.0,99.0,97.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,
QBBC - CIRCLE ACADEMY (UTOPIA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,94.0,93.0,89.0,92.0,93.0,94.0,97.0,95.0,91.0,96.0,,,,,,,,,,,,,
QBBF - DIVINE WISDOM CATHOLIC ACADEMY DOUGLASTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,97.0,,100.0,100.0,97.0,100.0,100.0,97.0,100.0,,,,,,,,,,,,,
QBBH - NEW MILESTONE INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,64.0,87.0,,90.0,83.0,82.0,91.0,91.0,81.0,86.0,,,,,,,,,,,,,
QBBL - ABC KIDDIELAND INC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0,100.0,98.0,100.0,99.0,99.0,98.0,100.0,100.0,98.0,100.0,,,,,,,,,,,,,
QBBM - MUSHROOM HOUSE LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,,100.0,99.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,
QBBQ - MOST HOLY REDEEMER CATHOLIC ACADEMY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,95.0,100.0,95.0,96.0,89.0,98.0,98.0,84.0,100.0,,,,,,,,,,,,,
QBDB - QUEENS POINTE TALENT INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,99.0,100.0,97.0,99.0,96.0,94.0,98.0,97.0,97.0,98.0,,,,,,,,,,,,,
QBDC - SCO FAMILY OF SERVICES CORONA EARLY EDUCATION CENTER AT 33-27 97 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,
QBDD - Hellenic Orthodox Community of Astoria St. Demetrios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,100.0,100.0,100.0,100.0,100.0,83.0,,,,,,,,,,,,,,
"QBDS - CLAIRE HEUREUSE COMMUNITY CENTER, INC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,
QBEF - THE LEARNING TREE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,100.0,97.0,100.0,98.0,92.0,92.0,100.0,100.0,90.0,100.0,,,,,,,,,,,,,
QBEQ - APPLETREE DAY CARE CENTER - BELL BLVD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,98.0,100.0,100.0,100.0,99.0,100.0,100.0,99.0,100.0,,,,,,,,,,,,,
"QBEX - TOWERS PLAY -N- LEARN, INC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,
QBEY - ALL IN ONE KIDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,100.0,100.0,,100.0,97.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,
"QBFB - PRESCHOOL 'R' US 3, INC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,94.0,96.0,98.0,99.0,99.0,96.0,99.0,99.0,98.0,98.0,,,,,,,,,,,,,
QBFL - BOYS & GIRLS CLUB OF METRO QUEENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,100.0,92.0,95.0,96.0,95.0,97.0,97.0,96.0,88.0,100.0,,,,,,,,,,,,,
QBFR - PARSONS PRESCHOOL - WOODHAVEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,93.0,88.0,100.0,94.0,89.0,95.0,90.0,90.0,80.0,92.0,,,,,,,,,,,,,
QBGD - AFRO AMERICAN PARENTS EDUCATIONAL CENTER SITE 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,96.0,100.0,100.0,96.0,100.0,96.0,97.0,96.0,100.0,,,,,,,,,,,,,
QBGH - RENANIM MANHATTAN INC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,100.0,90.0,100.0,93.0,93.0,95.0,,,,,,,,,,,,,,
"QBGI - TINY FOOTSTEPS, INC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,96.0,,95.0,100.0,100.0,100.0,100.0,93.0,100.0,,,,,,,,,,,,,
QBGO - SUNNYSIDE COMMUNITY SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,100.0,100.0,97.0,100.0,100.0,99.0,100.0,100.0,98.0,100.0,,,,,,,,,,,,,
QBGP - MOVING UP CHILDREN CENTER INC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,96.0,95.0,98.0,96.0,96.0,93.0,95.0,97.0,83.0,100.0,,,,,,,,,,,,,
QBGS - BAYSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,95.0,95.0,92.0,91.0,95.0,93.0,93.0,97.0,92.0,98.0,,,,,,,,,,,,,
QBGV - APPLETREE DAY CARE CENTER - 197TH STREET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,,100.0,98.0,94.0,100.0,96.0,100.0,100.0,,,,,,,,,,,,,
QBGZ - LITTLE LEADERS LIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,100.0,100.0,98.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,
QBHB - RAINBOW-FRESH MEADOWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,99.0,100.0,100.0,95.0,100.0,100.0,96.0,100.0,,,,,,,,,,,,,
QBHK - RISING STARS ISLAMIC SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,95.0,87.0,100.0,98.0,96.0,97.0,93.0,82.0,100.0,,,,,,,,,,,,,
QBHM - IMMANUEL NEW YORK MISSION INC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,100.0,99.0,100.0,99.0,100.0,97.0,99.0,100.0,98.0,100.0,,,,,,,,,,,,,
QBHQ - Sholom Daycare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,95.0,100.0,,97.0,96.0,93.0,100.0,100.0,95.0,100.0,,,,,,,,,,,,,
QBHX - ADVENTURELAND CHILD CARE CENTER INC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,86.0,92.0,80.0,89.0,87.0,91.0,90.0,95.0,96.0,95.0,,,,,,,,,,,,,
"QBHY - AIM HIGH LEADERSHIP CENTER, INC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,
QBIE - Lois C. Lee Early Childhood Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,100.0,100.0,98.0,100.0,100.0,91.0,100.0,,,,,,,,,,,,,
"QBIG - KA FLUSHING, INC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,98.0,99.0,95.0,94.0,95.0,93.0,95.0,98.0,92.0,100.0,,,,,,,,,,,,,
QBIH - MY LITTLE FOOTPRINTS DAYCARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,100.0,98.0,93.0,100.0,97.0,98.0,100.0,100.0,91.0,100.0,,,,,,,,,,,,,
QBIS - BABY STEPS DAYCARE CENTER II LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,98.0,96.0,92.0,100.0,99.0,93.0,99.0,97.0,81.0,100.0,,,,,,,,,,,,,
QBIY - KIDZ WORLD EARLY CHILDHOOD CENTER INC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,,100.0,100.0,94.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,
QBJD - THE SALVATION ARMY RIDGEWOOD CITADEL COMMUNITY CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,91.0,,85.0,80.0,95.0,80.0,80.0,92.0,100.0,,,,,,,,,,,,,
QBJH - BETHEL MISSION LOVING DAY CARE CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,
"QBJK - YORK COLLEGE CHILD AND FAMILY CENTER, INC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,96.0,91.0,90.0,97.0,98.0,92.0,100.0,100.0,85.0,100.0,,,,,,,,,,,,,
QBJR - GRACE DAYCARE CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,95.0,100.0,81.0,100.0,96.0,97.0,100.0,98.0,98.0,95.0,,,,,,,,,,,,,
QBKE - BEVERLY ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,96.0,94.0,98.0,86.0,89.0,88.0,91.0,92.0,93.0,100.0,,,,,,,,,,,,,
QBKP - LIFE SKILLS PRESCHOOL QUEENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,100.0,90.0,,100.0,100.0,100.0,100.0,100.0,90.0,100.0,,,,,,,,,,,,,
QBLC - DIKI'S DAYCARE CENTER INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,89.0,89.0,91.0,98.0,96.0,93.0,98.0,96.0,87.0,86.0,,,,,,,,,,,,,
QBLI - I BEAR DAYCARE CENTER INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,97.0,99.0,100.0,100.0,97.0,97.0,95.0,100.0,91.0,100.0,,,,,,,,,,,,,
